word,definition,theme,score_distinct,score_total,flags,target_code,link
가늘게 먹고 가는 똥 싸라,너무 욕심을 부리다가는 봉변을 당하기 쉬우니 제힘에 맞게 적당히 취하라는 것을 비유적으로 이르는 말.,health,1,1,,607044,https://opendict.korean.go.kr/dictionary/view?sense_no=607044
가랑잎에 불붙듯[달리듯],"바싹 마른 가랑잎에 불을 지르면 걷잡을 수 없이 잘 탄다는 뜻으로, 성미가 조급하고 도량이 좁아 걸핏하면 발끈하고 화를 잘 내는 것을 비유적으로 이르는 말.",health,1,1,,606991,https://opendict.korean.go.kr/dictionary/view?sense_no=606991
가랑잎으로 눈 가리기,자기의 존재나 허물을 숨기려고 미련하게 애쓰는 경우를 비유적으로 이르는 말.,health,1,1,,606993,https://opendict.korean.go.kr/dictionary/view?sense_no=606993
가랑잎으로 눈(을) 가리고 아웅 한다,얕은수로 남을 속이려 한다는 말. &lt;동의 속담&gt; ‘눈 가리고 아웅’ ‘눈 벌리고 어비야 한다’ ‘머리카락 뒤에서 숨바꼭질한다’,health,1,1,,606995,https://opendict.korean.go.kr/dictionary/view?sense_no=606995
가마 속의 콩도 삶아야 먹는다,"가마 안에 들어간 콩도 끓여서 삶아야 먹을 수 있다는 뜻으로, 다 된 듯하고 쉬운 일이라도 손을 대어 힘을 들이지 않으면 이익이 되지 않음을 비유적으로 이르는 말.",health,1,1,sexual:gray,600509,https://opendict.korean.go.kr/dictionary/view?sense_no=600509
간장국에 절다[마르다],"짠 간장국을 먹고 몸이 마른다는 뜻으로, 오래 찌들어서 바짝 마르고 단단함을 이르는 말.",health,1,1,,600594,https://opendict.korean.go.kr/dictionary/view?sense_no=600594
감기는 밥상머리에 내려앉는다,"밥만 잘 먹으면 감기 정도는 절로 물러간다는 뜻으로, 밥만 잘 먹으면 병은 물러감을 이르는 말. &lt;동의 속담&gt; ‘감기는 밥상머리에서 물러간다[물러앉는다]’",health,1,1,,607281,https://opendict.korean.go.kr/dictionary/view?sense_no=607281
감기는 밥상머리에서 물러간다[물러앉는다],"밥만 잘 먹으면 감기 정도는 절로 물러간다는 뜻으로, 밥만 잘 먹으면 병은 물러감을 이르는 말. &lt;동의 속담&gt; ‘감기는 밥상머리에 내려앉는다’",health,1,1,,607282,https://opendict.korean.go.kr/dictionary/view?sense_no=607282
갖은 황아다[황아라],"황아장수가 여러 가지를 다 갖추어 가지고 다닌다는 뜻으로, 여러 가지 것이 골고루 많이 있는 것을 이르는 말.",health,1,1,,600720,https://opendict.korean.go.kr/dictionary/view?sense_no=600720
같은 병신끼리 불쌍해한다,"불행한 처지에 있는 사람끼리 서로 이해하고 동정하면서 불쌍해 한다는 뜻으로, 어려운 처지에 있는 사람끼리 동정함을 이르는 말.",health,1,1,,607299,https://opendict.korean.go.kr/dictionary/view?sense_no=607299
거지가 말 얻은 것[격],"자기 몸 하나도 돌보기 어려운 거지가 건사하기 힘든 말까지 가지게 되었다는 뜻으로, 괴로운 중에 더욱 괴로운 일이 생겼음을 이르는 말.",health,1,1,sexual:gray,607266,https://opendict.korean.go.kr/dictionary/view?sense_no=607266
거지는 모닥불에 살찐다,"거지가 모닥불을 피워 놓고 언 몸을 녹이는 맛에 살이 찐다는 뜻으로, 아무리 어려운 사람이라도 무언가 한 가지는 사는 재미가 있다는 말.",health,1,1,violent:gray,607273,https://opendict.korean.go.kr/dictionary/view?sense_no=607273
